Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389
Random Forest,0.8888888888888888,0.898148148148148,0.8888888888888888,0.8877665544332212
XGBClassifier,0.9333333333333333,0.9345238095238096,0.9333333333333332,0.9332591768631814
